,dataset,kecamatan,gender,latitude,longitude,panjang,lebar,ac,air_panas,bak_mandi,bantal,bathtub,cctv,cermin,cleaning_service,dapur,dispenser,ember_mandi,guling,jemuran,kamar_mandi_dalam,kamar_mandi_luar,kartu_akses,kasur,kipas_angin,kloset_duduk,kloset_jongkok,kulkas,kursi,laundry,lemari_baju,locker,meja,meja_makan,microwave,mushola,parkir_mobil,parkir_motor,parkir_sepeda,penjaga_kos,rice_cooker,ruang_santai,shower,sofa,taman,termasuk_listrik,tv,wastafel,wifi,harga,luas,kategori_harga,total_facilities,jumlah_fasilitas_premium,jumlah_fasilitas_non_premium,jumlah_fasilitas_netral,luas_m2
623,telkom,bojongsoang,Kos Putri,-6.97961,107.634503,4.0,3.0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,550000,12.0,Low,19,3,6,10,12.0
624,telkom,dayeuhkolot,Kos Putra,-6.9700400989425,107.63177957386,2.6,2.6,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,800000,6.760000000000001,Low,14,5,2,7,6.760000000000001
625,telkom,dayeuhkolot,Kos Putri,-6.9671761,107.6341215,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,15.0,High,0,0,0,0,15.0
626,telkom,dayeuhkolot,Kos Putra,-6.971569,107.635329,8.0,8.0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,900000,64.0,Low,18,4,4,10,64.0
627,telkom,bojongsoang,Kos Putra,-6.9762883462914,107.63461466879,2.5,2.3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,724967,5.75,Low,9,2,4,3,5.75
628,telkom,bojongsoang,Kos Putri,-6.9712321811144,107.63820379972,3.0,3.0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1200000,9.0,Medium,16,6,2,8,9.0
629,telkom,dayeuhkolot,Kos Putra,-6.975786,107.633056,3.0,4.0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,900000,12.0,Low,19,3,6,10,12.0
630,telkom,bandung kidul,Kos Putra,-6.9625755,107.6471266,3.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,700000,9.0,Low,12,2,5,5,9.0
631,telkom,dayeuhkolot,Kos Campur,-6.977338,107.6322107,3.0,4.0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1000000,12.0,Low,12,2,3,7,12.0
632,telkom,dayeuhkolot,Kos Putra,-6.970497,107.633585,3.0,4.0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,950000,12.0,Low,17,2,6,9,12.0
633,telkom,dayeuhkolot,Kos Putra,-6.978368,107.63061,3.0,4.0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1300000,12.0,Medium,13,7,1,5,12.0
634,telkom,dayeuhkolot,Kos Putra,-6.970497,107.632309,3.0,4.0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,750000,12.0,Low,13,3,2,8,12.0
635,telkom,dayeuhkolot,Kos Putra,-6.967794,107.6227,3.0,6.0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1000000,18.0,Low,15,2,4,9,18.0
636,telkom,dayeuhkolot,Kos Campur,-6.9707579,107.6342133,4.0,4.0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,2000000,16.0,Medium,25,9,4,12,16.0
637,telkom,dayeuhkolot,Kos Putra,-6.977622,107.632617,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1200000,12.0,Medium,9,4,2,3,12.0
638,telkom,bojongsoang,Kos Putri,-6.978561,107.633855,3.0,4.0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,700000,12.0,Low,22,5,7,10,12.0
639,telkom,dayeuhkolot,Kos Putra,-6.9794017,107.6297851,2.7,3.8,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,670000,10.26,Low,10,2,2,6,10.26
640,telkom,dayeuhkolot,Kos Campur,-6.968513,107.627953,3.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,650000,12.0,Low,11,1,5,5,12.0
641,telkom,dayeuhkolot,Kos Putra,-6.967722,107.632998,3.0,4.0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1300000,12.0,Medium,23,9,4,10,12.0
642,telkom,dayeuhkolot,Kos Putri,-6.971773,107.6341433,3.0,3.0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,880000,9.0,Low,14,3,3,8,9.0
643,telkom,dayeuhkolot,Kos Putra,-6.967519,107.635937,3.0,3.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,550000,9.0,Low,15,1,5,9,9.0
644,telkom,dayeuhkolot,Kos Putra,-6.968228341226,107.62859344482,3.0,4.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2025000,12.0,High,14,4,3,7,12.0
645,telkom,dayeuhkolot,Kos Putri,-6.96913,107.634486,3.0,4.0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1800000,12.0,Medium,22,8,2,12,12.0
